---> Starting with dimension 16  and correlation 0 
Run: 1 out of 10  -  2025-06-11 10:42:07.187783 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 10:42:22.369325 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 10:42:37.804847 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 10:42:53.527515 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 10:43:09.54822 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 10:43:24.930806 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 10:43:41.627844 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 10:43:56.849543 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 10:44:12.289347 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 10:44:27.49949 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 10:44:44.539003 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 10:44:59.549646 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 10:45:29.365616 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 10:45:44.63193 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 10:46:00.096368 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 10:46:22.529702 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 10:46:37.977687 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 10:46:55.090984 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 10:47:11.149252 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 10:47:27.182992 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 10:47:43.273583 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 10:47:58.393908 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 10:48:15.132243 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 10:48:30.141126 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 10:48:46.6446 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 10:49:01.839559 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 10:49:17.207598 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 10:49:33.44907 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 10:49:49.23535 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 10:50:19.69192 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 10:50:35.257958 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 10:50:50.38281 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 10:51:05.786267 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 10:51:21.030425 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 10:51:37.862836 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 10:51:52.996309 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 10:52:09.349114 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 10:52:24.551901 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 10:52:40.92162 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 10:52:55.862848 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 10:53:11.42214 with b: 2 
Run: 2 out of 10  -  2025-06-11 10:53:41.685933 with b: 2 
Run: 3 out of 10  -  2025-06-11 10:53:57.245849 with b: 2 
Run: 4 out of 10  -  2025-06-11 10:54:12.585816 with b: 2 
Run: 5 out of 10  -  2025-06-11 10:54:31.24394 with b: 2 
Run: 6 out of 10  -  2025-06-11 10:54:47.197018 with b: 2 
Run: 7 out of 10  -  2025-06-11 10:55:04.063391 with b: 2 
Run: 8 out of 10  -  2025-06-11 10:55:21.896979 with b: 2 
Run: 9 out of 10  -  2025-06-11 10:55:39.068727 with b: 2 
Run: 10 out of 10  -  2025-06-11 10:55:54.128239 with b: 2 

 20 / 20 
---> Finished with dimension 1024  and correlation 0 
---> Starting with dimension 16  and correlation 0.25 
Run: 1 out of 10  -  2025-06-11 10:56:10.280417 with b: -2 
Run: 2 out of 10  -  2025-06-11 10:56:10.281459 with b: -2 
Run: 3 out of 10  -  2025-06-11 10:56:10.282441 with b: -2 
Run: 4 out of 10  -  2025-06-11 10:56:10.283309 with b: -2 
Run: 5 out of 10  -  2025-06-11 10:56:10.284196 with b: -2 
Run: 6 out of 10  -  2025-06-11 10:56:10.285046 with b: -2 
Run: 7 out of 10  -  2025-06-11 10:56:10.285926 with b: -2 
Run: 8 out of 10  -  2025-06-11 10:56:10.286787 with b: -2 
Run: 9 out of 10  -  2025-06-11 10:56:10.287668 with b: -2 
Run: 10 out of 10  -  2025-06-11 10:56:10.288526 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.289419 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 10:56:10.290284 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 10:56:10.291154 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 10:56:10.292026 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 10:56:10.292905 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 10:56:10.293777 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 10:56:10.29464 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 10:56:10.295492 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 10:56:10.29635 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 10:56:10.297216 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.298091 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 10:56:10.298942 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 10:56:10.2998 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 10:56:10.300654 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 10:56:10.301548 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 10:56:10.302393 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 10:56:10.303274 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 10:56:10.304154 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 10:56:10.305051 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 10:56:10.305913 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.306767 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 10:56:10.307631 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 10:56:10.308471 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 10:56:10.309305 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 10:56:10.31016 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 10:56:10.311012 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 10:56:10.311872 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 10:56:10.312726 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 10:56:10.313603 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 10:56:10.31446 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.315356 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 10:56:10.316247 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 10:56:10.317135 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 10:56:10.318021 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 10:56:10.318956 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 10:56:10.319868 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 10:56:10.32075 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 10:56:10.321646 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 10:56:10.322502 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 10:56:10.323363 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.324222 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 10:56:10.32511 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 10:56:10.32596 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 10:56:10.326837 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 10:56:10.327706 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 10:56:10.328678 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 10:56:10.329531 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 10:56:10.330415 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 10:56:10.331283 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 10:56:10.332184 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.333051 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 10:56:10.333978 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 10:56:10.334851 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 10:56:10.335735 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 10:56:10.336603 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 10:56:10.337486 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 10:56:10.338362 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 10:56:10.339263 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 10:56:10.340127 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 10:56:10.341002 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.341923 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 10:56:10.342876 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 10:56:10.343923 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 10:56:10.344914 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 10:56:10.345911 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 10:56:10.346824 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 10:56:10.347909 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 10:56:10.349079 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 10:56:10.350005 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 10:56:10.350941 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.351823 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 10:56:10.35289 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 10:56:10.353767 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 10:56:10.354625 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 10:56:10.35546 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 10:56:10.356328 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 10:56:10.35717 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 10:56:10.357775 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 10:56:10.35833 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 10:56:10.358906 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.359462 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 10:56:10.360025 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 10:56:10.360578 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 10:56:10.361168 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 10:56:10.361748 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 10:56:10.362316 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 10:56:10.36288 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 10:56:10.363453 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 10:56:10.364008 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 10:56:10.364577 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.365215 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 10:56:10.365773 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 10:56:10.36634 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 10:56:10.366884 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 10:56:10.367472 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 10:56:10.368033 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 10:56:10.368619 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 10:56:10.369198 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 10:56:10.369768 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 10:56:10.370327 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.370872 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 10:56:10.371422 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 10:56:10.371948 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 10:56:10.372481 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 10:56:10.373008 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 10:56:10.373569 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 10:56:10.374092 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 10:56:10.374628 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 10:56:10.375183 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 10:56:10.375734 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.37629 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 10:56:10.376845 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 10:56:10.377388 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 10:56:10.37796 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 10:56:10.378509 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 10:56:10.379053 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 10:56:10.379567 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 10:56:10.380107 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 10:56:10.380617 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 10:56:10.381171 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.381742 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 10:56:10.382301 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 10:56:10.389374 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 10:56:10.390236 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 10:56:10.390741 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 10:56:10.391185 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 10:56:10.391674 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 10:56:10.392115 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 10:56:10.392599 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 10:56:10.393037 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.393516 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 10:56:10.39395 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 10:56:10.394399 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 10:56:10.395085 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 10:56:10.395593 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 10:56:10.39607 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 10:56:10.396558 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 10:56:10.397018 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 10:56:10.397479 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 10:56:10.397923 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.398394 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 10:56:10.398864 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 10:56:10.399315 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 10:56:10.399786 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 10:56:10.400246 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 10:56:10.400701 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 10:56:10.401168 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 10:56:10.401635 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 10:56:10.402102 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 10:56:10.40255 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.403028 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 10:56:10.403497 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 10:56:10.40395 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 10:56:10.40442 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 10:56:10.404873 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 10:56:10.40533 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 10:56:10.405795 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 10:56:10.406254 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 10:56:10.406721 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 10:56:10.407188 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.407664 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 10:56:10.408123 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 10:56:10.408615 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 10:56:10.409078 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 10:56:10.409555 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 10:56:10.410027 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 10:56:10.410483 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 10:56:10.410959 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 10:56:10.411428 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 10:56:10.411906 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.412359 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 10:56:10.412825 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 10:56:10.413273 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 10:56:10.413747 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 10:56:10.414201 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 10:56:10.414693 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 10:56:10.415154 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 10:56:10.415635 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 10:56:10.416097 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 10:56:10.41657 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.41704 with b: 2 
Run: 2 out of 10  -  2025-06-11 10:56:10.417513 with b: 2 
Run: 3 out of 10  -  2025-06-11 10:56:10.417987 with b: 2 
Run: 4 out of 10  -  2025-06-11 10:56:10.418444 with b: 2 
Run: 5 out of 10  -  2025-06-11 10:56:10.418929 with b: 2 
Run: 6 out of 10  -  2025-06-11 10:56:10.419386 with b: 2 
Run: 7 out of 10  -  2025-06-11 10:56:10.419873 with b: 2 
Run: 8 out of 10  -  2025-06-11 10:56:10.420337 with b: 2 
Run: 9 out of 10  -  2025-06-11 10:56:10.420784 with b: 2 
Run: 10 out of 10  -  2025-06-11 10:56:10.42126 with b: 2 

 20 / 20 
---> Finished with dimension 16  and correlation 0.25 
---> Starting with dimension 64  and correlation 0.25 
Run: 1 out of 10  -  2025-06-11 10:56:10.422086 with b: -2 
Run: 2 out of 10  -  2025-06-11 10:56:10.426602 with b: -2 
Run: 3 out of 10  -  2025-06-11 10:56:10.431393 with b: -2 
Run: 4 out of 10  -  2025-06-11 10:56:10.436168 with b: -2 
Run: 5 out of 10  -  2025-06-11 10:56:10.440972 with b: -2 
Run: 6 out of 10  -  2025-06-11 10:56:10.445793 with b: -2 
Run: 7 out of 10  -  2025-06-11 10:56:10.450226 with b: -2 
Run: 8 out of 10  -  2025-06-11 10:56:10.454764 with b: -2 
Run: 9 out of 10  -  2025-06-11 10:56:10.459312 with b: -2 
Run: 10 out of 10  -  2025-06-11 10:56:10.464301 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.469293 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 10:56:10.474364 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 10:56:10.47881 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 10:56:10.501056 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 10:56:10.518485 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 10:56:10.524904 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 10:56:10.531897 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 10:56:10.539124 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 10:56:10.546018 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 10:56:10.552935 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.560003 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 10:56:10.565931 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 10:56:10.574171 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 10:56:10.579824 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 10:56:10.584389 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 10:56:10.588769 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 10:56:10.593143 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 10:56:10.597519 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 10:56:10.636577 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 10:56:10.641039 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.645425 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 10:56:10.649874 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 10:56:10.654327 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 10:56:10.658966 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 10:56:10.663397 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 10:56:10.667857 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 10:56:10.672245 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 10:56:10.676655 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 10:56:10.681034 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 10:56:10.685481 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.689832 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 10:56:10.694243 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 10:56:10.698547 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 10:56:10.702858 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 10:56:10.707195 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 10:56:10.711544 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 10:56:10.715836 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 10:56:10.720183 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 10:56:10.724519 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 10:56:10.728837 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.733181 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 10:56:10.737448 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 10:56:10.741761 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 10:56:10.746148 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 10:56:10.766573 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 10:56:10.774373 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 10:56:10.779933 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 10:56:10.785468 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 10:56:10.79108 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 10:56:10.797311 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.803042 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 10:56:10.808748 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 10:56:10.81446 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 10:56:10.82015 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 10:56:10.828216 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 10:56:10.841211 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 10:56:10.846979 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 10:56:10.851378 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 10:56:10.85573 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 10:56:10.860075 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.864409 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 10:56:10.868732 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 10:56:10.873088 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 10:56:10.87744 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 10:56:10.881768 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 10:56:10.886084 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 10:56:10.890408 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 10:56:10.894789 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 10:56:10.899192 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 10:56:10.903608 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 10:56:10.908253 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 10:56:10.912769 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 10:56:10.917249 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 10:56:10.92173 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 10:56:10.92605 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 10:56:10.930326 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 10:56:10.934977 with b: -0.316 
